State,Year,Electoral Vote
Idaho,1980,4
Idaho,1984,4
Idaho,1988,4
Idaho,1992,4
Idaho,1996,4
Idaho,2000,4
Idaho,2004,4
Idaho,2008,4
Idaho,2012,4
Idaho,2016,4
Idaho,2020,4
,,
,,
,,
,,
Illinois,1976,26
Illinois,1980,26
Illinois,1984,24
Illinois,1988,24
Illinois,1992,22
Illinois,1996,22
Illinois,2000,22
Illinois,2004,21
Illinois,2008,21
Illinois,2012,20
Illinois,2016,20
Illinois,2020,20
,,
,,
,,
,,
Indiana,1976,13
Indiana,1980,13
Indiana,1984,12
Indiana,1988,12
Indiana,1992,12
Indiana,1996,12
Indiana,2000,12
Indiana,2004,11
Indiana,2008,11
Indiana,2012,11
Indiana,2016,11
Indiana,2020,11
,,
,,
,,
,,
Iowa,1976,8
Iowa,1980,8
Iowa,1984,8
Iowa,1988,8
Iowa,1992,7
Iowa,1996,7
Iowa,2000,7
Iowa,2004,7
Iowa,2008,7
Iowa,2012,6
Iowa,2016,6
Iowa,2020,6
,,
,,
,,
,,
Kansas,1976,7
Kansas,1980,7
Kansas,1984,7
Kansas,1988,7
Kansas,1992,6
Kansas,1996,6
Kansas,2000,6
Kansas,2004,6
Kansas,2008,6
Kansas,2012,6
Kansas,2016,6
Kansas,2020,6
,,
,,
,,
,,
Kentucky,1976,9
Kentucky,1980,9
Kentucky,1984,9
Kentucky,1988,9
Kentucky,1992,8
Kentucky,1996,8
Kentucky,2000,8
Kentucky,2004,8
Kentucky,2008,8
Kentucky,2012,8
Kentucky,2016,8
Kentucky,2020,8
,,
,,
,,
,,
Louisiana,1976,10
Louisiana,1980,10
Louisiana,1984,10
Louisiana,1988,10
Louisiana,1992,9
Louisiana,1996,9
Louisiana,2000,9
Louisiana,2004,9
Louisiana,2008,9
Louisiana,2012,8
Louisiana,2016,8
Louisiana,2020,8
,,
,,
,,
,,
Maine,1976,4
Maine,1980,4
Maine,1984,4
Maine,1988,4
Maine,1992,4
Maine,1996,4
Maine,2000,4
Maine,2004,4
Maine,2008,4
Maine,2012,4
Maine,2016,4
Maine,2020,4
,,
,,
,,
,,
Maryland,1976,10
Maryland,1980,10
Maryland,1984,10
Maryland,1988,10
Maryland,1992,10
Maryland,1996,10
Maryland,2000,10
Maryland,2004,10
Maryland,2008,10
Maryland,2012,10
Maryland,2016,10
Maryland,2020,10
,,
,,
,,
,,
Massachusetts,1976,14
Massachusetts,1980,14
Massachusetts,1984,13
Massachusetts,1988,13
Massachusetts,1992,12
Massachusetts,1996,12
Massachusetts,2000,12
Massachusetts,2004,12
Massachusetts,2008,12
Massachusetts,2012,11
Massachusetts,2016,11
Massachusetts,2020,11
,,
,,
,,
,,
Michigan,1976,21
Michigan,1980,21
Michigan,1984,20
Michigan,1988,20
Michigan,1992,18
Michigan,1996,18
Michigan,2000,18
Michigan,2004,17
Michigan,2008,17
Michigan,2012,16
Michigan,2016,16
Michigan,2020,16
,,
,,
,,
,,
Minnesota,1976,10
Minnesota,1980,10
Minnesota,1984,10
Minnesota,1988,10
Minnesota,1992,10
Minnesota,1996,10
Minnesota,2000,10
Minnesota,2004,10
Minnesota,2008,10
Minnesota,2012,10
Minnesota,2016,10
Minnesota,2020,10
,,
,,
,,
,,
Mississippi,1976,7
Mississippi,1980,7
Mississippi,1984,7
Mississippi,1988,7
Mississippi,1992,7
Mississippi,1996,7
Mississippi,2000,7
Mississippi,2004,6
Mississippi,2008,6
Mississippi,2012,6
Mississippi,2016,6
Mississippi,2020,6
,,
,,
,,
,,
Missouri,1976,12
Missouri,1980,12
Missouri,1984,11
Missouri,1988,11
Missouri,1992,11
Missouri,1996,11
Missouri,2000,11
Missouri,2004,11
Missouri,2008,11
Missouri,2012,10
Missouri,2016,10
Missouri,2020,10
,,
,,
,,
,,
Montana,1976,4
Montana,1980,4
Montana,1984,4
Montana,1988,4
Montana,1992,3
Montana,1996,3
Montana,2000,3
Montana,2004,3
Montana,2008,3
Montana,2012,3
Montana,2016,3
Montana,2020,3
,,
,,
,,
,,
Nebraska,1976,5
Nebraska,1980,5
Nebraska,1984,5
Nebraska,1988,5
Nebraska,1992,5
Nebraska,1996,5
Nebraska,2000,5
Nebraska,2004,5
Nebraska,2008,5
Nebraska,2012,5
Nebraska,2016,5
Nebraska,2020,5
,,
,,
,,
,,
Nevada,1976,3
Nevada,1980,3
Nevada,1984,4
Nevada,1988,4
Nevada,1992,4
Nevada,1996,4
Nevada,2000,4
Nevada,2004,5
Nevada,2008,5
Nevada,2012,6
Nevada,2016,6
Nevada,2020,6
,,
,,
,,
,,
New Hampshire,1976,4
New Hampshire,1980,4
New Hampshire,1984,4
New Hampshire,1988,4
New Hampshire,1992,4
New Hampshire,1996,4
New Hampshire,2000,4
New Hampshire,2004,4
New Hampshire,2008,4
New Hampshire,2012,4
New Hampshire,2016,4
New Hampshire,2020,4
,,
,,
,,
,,
New Jersey,1976,17
New Jersey,1980,17
New Jersey,1984,16
New Jersey,1988,16
New Jersey,1992,15
New Jersey,1996,15
New Jersey,2000,15
New Jersey,2004,15
New Jersey,2008,15
New Jersey,2012,14
New Jersey,2016,14
New Jersey,2020,14
,,
,,
,,
,,
New Mexico,1976,4
New Mexico,1980,4
New Mexico,1984,5
New Mexico,1988,5
New Mexico,1992,5
New Mexico,1996,5
New Mexico,2000,5
New Mexico,2004,5
New Mexico,2008,5
New Mexico,2012,5
New Mexico,2016,5
New Mexico,2020,5
,,
,,
,,
,,
New York,1976,41
New York,1980,41
New York,1984,36
New York,1988,36
New York,1992,33
New York,1996,33
New York,2000,33
New York,2004,31
New York,2008,31
New York,2012,29
New York,2016,29
New York,2020,29
,,
,,
,,
,,
North Carolina,1976,13
North Carolina,1980,13
North Carolina,1984,13
North Carolina,1988,13
North Carolina,1992,14
North Carolina,1996,14
North Carolina,2000,14
North Carolina,2004,15
North Carolina,2008,15
North Carolina,2012,15
North Carolina,2016,15
North Carolina,2020,15
,,
,,
,,
,,
North Dakota,1976,3
North Dakota,1980,3
North Dakota,1984,3
North Dakota,1988,3
North Dakota,1992,3
North Dakota,1996,3
North Dakota,2000,3
North Dakota,2004,3
North Dakota,2008,3
North Dakota,2012,3
North Dakota,2016,3
North Dakota,2020,3
,,
,,
,,
,,
Ohio,1976,25
Ohio,1980,25
Ohio,1984,23
Ohio,1988,23
Ohio,1992,21
Ohio,1996,21
Ohio,2000,21
Ohio,2004,20
Ohio,2008,20
Ohio,2012,18
Ohio,2016,18
Ohio,2020,18
,,
,,
,,
,,
Oklahoma,1976,8
Oklahoma,1980,8
Oklahoma,1984,8
Oklahoma,1988,8
Oklahoma,1992,8
Oklahoma,1996,8
Oklahoma,2000,8
Oklahoma,2004,7
Oklahoma,2008,7
Oklahoma,2012,7
Oklahoma,2016,7
Oklahoma,2020,7
,,
,,
,,
,,
Oregon,1976,6
Oregon,1980,6
Oregon,1984,7
Oregon,1988,7
Oregon,1992,7
Oregon,1996,7
Oregon,2000,7
Oregon,2004,7
Oregon,2008,7
Oregon,2012,7
Oregon,2016,7
Oregon,2020,7
,,
,,
,,
,,
Pennsylvania,1976,27
Pennsylvania,1980,27
Pennsylvania,1984,25
Pennsylvania,1988,25
Pennsylvania,1992,23
Pennsylvania,1996,23
Pennsylvania,2000,23
Pennsylvania,2004,21
Pennsylvania,2008,21
Pennsylvania,2012,20
Pennsylvania,2016,20
Pennsylvania,2020,20
,,
,,
,,
,,
Rhode Island,1976,4
Rhode Island,1980,4
Rhode Island,1984,4
Rhode Island,1988,4
Rhode Island,1992,4
Rhode Island,1996,4
Rhode Island,2000,4
Rhode Island,2004,4
Rhode Island,2008,4
Rhode Island,2012,4
Rhode Island,2016,4
Rhode Island,2020,4
,,
,,
,,
,,
South Carolina,1976,8
South Carolina,1980,8
South Carolina,1984,8
South Carolina,1988,8
South Carolina,1992,8
South Carolina,1996,8
South Carolina,2000,8
South Carolina,2004,8
South Carolina,2008,8
South Carolina,2012,9
South Carolina,2016,9
South Carolina,2020,9
,,
,,
,,
,,
South Dakota,1976,4
South Dakota,1980,4
South Dakota,1984,3
South Dakota,1988,3
South Dakota,1992,3
South Dakota,1996,3
South Dakota,2000,3
South Dakota,2004,3
South Dakota,2008,3
South Dakota,2012,3
South Dakota,2016,3
South Dakota,2020,3
,,
,,
,,
,,
Tennessee,1976,10
Tennessee,1980,10
Tennessee,1984,11
Tennessee,1988,11
Tennessee,1992,11
Tennessee,1996,11
Tennessee,2000,11
Tennessee,2004,11
Tennessee,2008,11
Tennessee,2012,11
Tennessee,2016,11
Tennessee,2020,11
,,
,,
,,
,,
Texas,1976,26
Texas,1980,26
Texas,1984,29
Texas,1988,29
Texas,1992,32
Texas,1996,32
Texas,2000,32
Texas,2004,34
Texas,2008,34
Texas,2012,38
Texas,2016,38
Texas,2020,38
,,
,,
,,
,,
Utah,1976,4
Utah,1980,4
Utah,1984,5
Utah,1988,5
Utah,1992,5
Utah,1996,5
Utah,2000,5
Utah,2004,5
Utah,2008,5
Utah,2012,6
Utah,2016,6
Utah,2020,6
,,
,,
,,
,,
Vermont,1976,3
Vermont,1980,3
Vermont,1984,3
Vermont,1988,3
Vermont,1992,3
Vermont,1996,3
Vermont,2000,3
Vermont,2004,3
Vermont,2008,3
Vermont,2012,3
Vermont,2016,3
Vermont,2020,3
,,
,,
,,
,,
Virginia,1976,12
Virginia,1980,12
Virginia,1984,12
Virginia,1988,12
Virginia,1992,13
Virginia,1996,13
Virginia,2000,13
Virginia,2004,13
Virginia,2008,13
Virginia,2012,13
Virginia,2016,13
Virginia,2020,13
,,
,,
,,
,,
Washington,1976,9
Washington,1980,9
Washington,1984,10
Washington,1988,10
Washington,1992,11
Washington,1996,11
Washington,2000,11
Washington,2004,11
Washington,2008,11
Washington,2012,12
Washington,2016,12
Washington,2020,12
,,
,,
,,
,,
West Virginia,1976,6
West Virginia,1980,6
West Virginia,1984,6
West Virginia,1988,6
West Virginia,1992,5
West Virginia,1996,5
West Virginia,2000,5
West Virginia,2004,5
West Virginia,2008,5
West Virginia,2012,5
West Virginia,2016,5
West Virginia,2020,5
,,
,,
,,
,,
Wisconsin,1976,11
Wisconsin,1980,11
Wisconsin,1984,11
Wisconsin,1988,11
Wisconsin,1992,11
Wisconsin,1996,11
Wisconsin,2000,11
Wisconsin,2004,10
Wisconsin,2008,10
Wisconsin,2012,10
Wisconsin,2016,10
Wisconsin,2020,10
,,
,,
,,
,,
Wyoming,1976,3
Wyoming,1980,3
Wyoming,1984,3
Wyoming,1988,3
Wyoming,1992,3
Wyoming,1996,3
Wyoming,2000,3
Wyoming,2004,3
Wyoming,2008,3
Wyoming,2012,3
Wyoming,2016,3
Wyoming,2020,3
